subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	docpath	path	file	basename
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	20	Rename	species	Icerudivirus SIRV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Icerudivirus SIRV1' to 'Icerudivirus kverkfjoellense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus kverkfjoellense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	21	Rename	species	Icerudivirus SIRV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Icerudivirus SIRV2' to 'Icerudivirus hveragerdiense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus hveragerdiense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	22	Rename	species	Icerudivirus SIRV3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Icerudivirus SIRV3' to 'Icerudivirus gunnuhverense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Icerudivirus;Icerudivirus gunnuhverense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	23	Rename	species	Itarudivirus ARV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Itarudivirus ARV1' to 'Itarudivirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Itarudivirus;Itarudivirus pozzuoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	24	Rename	species	Japarudivirus SBRV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Japarudivirus SBRV1' to 'Japarudivirus beppuense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Japarudivirus;Japarudivirus beppuense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	25	Rename	species	Mexirudivirus SMRV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Mexirudivirus SMRV1' to 'Mexirudivirus azufresense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Mexirudivirus;Mexirudivirus azufresense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	26	Rename	species	Usarudivirus SIRV4	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV4' to 'Usarudivirus yellowstonense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus yellowstonense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	27	Rename	species	Usarudivirus SIRV5	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV5' to 'Usarudivirus nymphense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus nymphense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	28	Rename	species	Usarudivirus SIRV8	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV8' to 'Usarudivirus caloris' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus caloris'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	29	Rename	species	Usarudivirus SIRV9	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV9' to 'Usarudivirus aestus' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus aestus'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	30	Rename	species	Usarudivirus SIRV10	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV10' to 'Usarudivirus acidum' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus acidum'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	31	Rename	species	Usarudivirus SIRV11	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Usarudivirus SIRV11' to 'Usarudivirus dryadis' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Rudiviridae;Usarudivirus;Usarudivirus dryadis'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	32	Rename	species	Alphatristromavirus PFV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphatristromavirus PFV1' to 'Alphatristromavirus pozzuoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Alphatristromavirus;Alphatristromavirus pozzuoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	33	Rename	species	Alphatristromavirus PFV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alphatristromavirus PFV2' to 'Alphatristromavirus puteoliense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Alphatristromavirus;Alphatristromavirus puteoliense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	34	Rename	species	Betatristromavirus TTV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Betatristromavirus TTV1' to 'Betatristromavirus kraflaense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Primavirales;Tristromaviridae;Betatristromavirus;Betatristromavirus kraflaense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	35	Rename	species	Captovirus AFV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Captovirus AFV1' to 'Captovirus yellowstonense' in 'Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Ungulaviridae;Captovirus;Captovirus yellowstonense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	36	Rename	species	Metforvirus Drs3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Metforvirus Drs3' to 'Metforvirus limi' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Methanobavirales;Anaerodiviridae;Metforvirus;Metforvirus limi'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	37	Rename	species	Hacavirus HCTV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hacavirus HCTV1' to 'Hacavirus italiense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Druskaviridae;Hacavirus;Hacavirus italiense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	38	Rename	species	Tredecimvirus HVTV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tredecimvirus HVTV1' to 'Tredecimvirus thailandense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Druskaviridae;Tredecimvirus;Tredecimvirus thailandense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	39	Rename	species	Beejeyvirus BJ1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Beejeyvirus BJ1' to 'Beejeyvirus bagaejinnorense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kirjokansivirales;Graaviviridae;Beejeyvirus;Beejeyvirus bagaejinnorense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	40	Rename	species	Seejivirus CGphi46	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Seejivirus CGphi46' to 'Seejivirus salhabitans' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kirjokansivirales;Graaviviridae;Seejivirus;Seejivirus salhabitans'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	41	Rename	species	Haloferacalesvirus HF1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HF1' to 'Haloferacalesvirus moolapense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus moolapense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	42	Rename	species	Haloferacalesvirus HJTV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HJTV2' to 'Haloferacalesvirus thailandense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus thailandense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	43	Rename	species	Haloferacalesvirus HRTV5	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HRTV5' to 'Haloferacalesvirus pyrstotum' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus pyrstotum'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	44	Rename	species	Haloferacalesvirus HRTV8	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HRTV8' to 'Haloferacalesvirus salis' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus salis'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	45	Rename	species	Haloferacalesvirus HRTV10	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HRTV10' to 'Haloferacalesvirus eilatense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus eilatense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	46	Rename	species	Haloferacalesvirus HSTV4	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus HSTV4' to 'Haloferacalesvirus samutsakhonense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus samutsakhonense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	47	Rename	species	Haloferacalesvirus Serpecor1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Haloferacalesvirus Serpecor1' to 'Haloferacalesvirus serpentinense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Haloferacalesvirus;Haloferacalesvirus serpentinense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	48	Rename	species	Laminvirus HRTV25	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Laminvirus HRTV25' to 'Laminvirus thailandense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Laminvirus;Laminvirus thailandense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	49	Rename	species	Mincapvirus HSTV2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Mincapvirus HSTV2' to 'Mincapvirus eilatense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Mincapvirus;Mincapvirus eilatense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	50	Rename	species	Minorvirus HRTV27	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Minorvirus HRTV27' to 'Minorvirus thailandense' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Hafunaviridae;Minorvirus;Minorvirus thailandense'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	51	Rename	species	Dpdavirus HRTV29	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Dpdavirus HRTV29' to 'Dpdavirus caudatum' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kirjokansivirales;Haloferuviridae;Dpdavirus;Dpdavirus caudatum'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	52	Rename	species	Retbasiphovirus HFTV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Retbasiphovirus HFTV1' to 'Retbasiphovirus hantatum' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kirjokansivirales;Haloferuviridae;Retbasiphovirus;Retbasiphovirus hantatum'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	53	Rename	species	Saldibavirus HRTV4	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Saldibavirus HRTV4' to 'Saldibavirus natrii' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Kirjokansivirales;Haloferuviridae;Saldibavirus;Saldibavirus natrii'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	54	Rename	species	Hagravirus HGTV1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hagravirus HGTV1' to 'Hagravirus capitaneum' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Halomagnusviridae;Hagravirus;Hagravirus capitaneum'	NA	NA	NA	NA	NA
Archaeal viruses (A) proposals	2023.001A	2023.001A.N.v1.Archaeal_binomials.docx	2023.001A.N.v1.Archaeal_binomials.xlsx	55	Rename	species	Psimunavirus psiM2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Psimunavirus psiM2' to 'Psimunavirus limi' in 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Methanobavirales;Leisingerviridae;Psimunavirus;Psimunavirus limi'	NA	NA	NA	NA	NA
