"zip"	"spreadsheet"	"nrow"	"ncol"	"nchanges"	"status"
"./zips/All D proposals.zip"	"2021.007D.A.v1.Polyomaviridae_2ngen_117rensp.xlsx"	122	41	119	
"./zips/All F proposals.zip"	"2021.001F.A.v1.Fusariviridae_1newfam.xlsx"	499	41	38	
"./zips/All F proposals.zip"	"2021.002F.A.v1.Chrysoviridae_binomials.xlsx"	499	41	31	
"./zips/All F proposals.zip"	"2021.003F.A.v1.Mitoviridae_100nsp_4ngen.xlsx"	499	41	110	
"./zips/All F proposals.zip"	"2021.004F.A.v1.Hadakaviridae_newfam.xlsx"	499	41	3	
"./zips/All F proposals.zip"	"2021.005F.A.v1.Yadokarivirales_neworder.xlsx"	499	41	14	
"./zips/All F proposals.zip"	"2021.006F.A.v1.Hypoviridae_8newgen_35newsp.xlsx"	499	41	48	
"./zips/All F proposals.zip"	"2021.007F.A.v1.Gammaflexiviridae_2ngen_3nsp.xlsx"	499	41	5	
"./zips/All F proposals.zip"	"2021.008F.A.v1.Yaraviridae_newfam.xlsx"	499	41	3	
"./zips/All F proposals.zip"	"2021.009F.A.v1.Botourmiaviridae_6newgen_109newsp.xlsx"	497	41	118	
"./zips/All F proposals.zip"	"2021.010F.A.v1.Cressdna_2neword_3newfam_21newgen.xlsx"	499	41	55	
"./zips/All M proposals.zip"	"2020.028M.A.v1.Reovirales_2nfam.xlsx"	499	41	3	
"./zips/All M proposals.zip"	"2021.001M.A.v1.Betarhabdovirinae_7nsp.xlsx"	498	41	7	
"./zips/All M proposals.zip"	"2021.003M.A.v2.Alpharhabdovirinae_3ngen_7nsp.xlsx"	499	41	10	
"./zips/All M proposals.zip"	"2021.004M.A.v1.Alpharhabdovirinae_13nsp.xlsx"	499	41	13	
"./zips/All M proposals.zip"	"2021.005M.A.v1.Filoviridae_1ngen_1nsp.xlsx"	497	41	2	
"./zips/All M proposals.zip"	"2021.006M.A.v1.Mammarenavirus_1nsp_Bitu.xlsx"	499	41	1	
"./zips/All M proposals.zip"	"2021.007M.A.v1.Mammarenavirus_1nsp_Kwanza.xlsx"	499	41	1	
"./zips/All M proposals.zip"	"2021.009M.A.v1.Artoviridae_sprename.xlsx"	456	41	8	
"./zips/All M proposals.zip"	"2021.010M.A.v1.Bornaviridae_sprename.xlsx"	449	41	11	
"./zips/All M proposals.zip"	"2021.011M.A.v1.Filoviridae_1ngen_3nsp.xlsx"	499	41	4	
"./zips/All M proposals.zip"	"2021.014M.A.v1.Jeilongvirus_8nsp.xlsx"	499	41	8	
"./zips/All M proposals.zip"	"2021.016M.A.v1.Lispiviridae_16ngen_13nsp.xlsx"	499	41	35	
"./zips/All M proposals.zip"	"2021.018M.A.v1.Negarnaviricota_sprename.xlsx"	480	41	14	
"./zips/All M proposals.zip"	"2021.019M.A.v1.Nyamiviridae_3nsp.xlsx"	499	41	3	
"./zips/All M proposals.zip"	"2021.020M.A.v1.Nyamiviridae_sprename.xlsx"	449	41	17	
"./zips/All M proposals.zip"	"2021.021M.A.v1.Orthobornavirus_1nsp.xlsx"	499	41	1	
"./zips/All M proposals.zip"	"2021.022M.A.v1.Orthomyxoviridae_1ngen_1nsp_Mykiss.xlsx"	499	41	2	
"./zips/All M proposals.zip"	"2021.023M.A.v1.Orthomyxoviridae_1ngen_1nsp_Sardino.xlsx"	499	41	2	
"./zips/All M proposals.zip"	"2021.024M.A.v1.Orthomyxoviridae_sprename.xlsx"	449	41	9	
"./zips/All M proposals.zip"	"2021.027M.A.v1.Peribunyaviridae_3ngen_3nsp.xlsx"	500	41	6	
"./zips/All M proposals.zip"	"2021.029M.A.v1.Peropuvirus_1nsp.xlsx"	499	41	1	
"./zips/All M proposals.zip"	"2021.030M.A.v1.Phasmaviridae_1ngen_5nsp.xlsx"	499	41	6	
"./zips/All M proposals.zip"	"2021.032M.A.v1.Picobirnaviridae_sprename_genrename.xlsx"	82	41	4	
"./zips/All M proposals.zip"	"2021.034M.A.v1.Quaranjavirus_4nsp.xlsx"	499	41	4	
"./zips/All M proposals.zip"	"2021.035M.A.v1.Rhabdoviridae_2ngen_2nsp.xlsx"	493	41	4	
"./zips/All M proposals.zip"	"2021.036M.A.v1.Rhabdoviridae_sprename.xlsx"	499	41	246	
"./zips/All M proposals.zip"	"2021.037M.A.v1.Sunviridae _sprename.xlsx"	456	41	1	
"./zips/All M proposals.zip"	"2021.038M.A.v1.Thogotovirus_6nsp.xlsx"	499	41	6	
"./zips/All M proposals.zip"	"2021.039M.A.v1.Xinmoviridae_10ngen_8nsp.xlsx"	491	41	25	
"./zips/All M proposals.zip"	"2021.040M.A.v1.Bunyavirales_2nfam_2ngen_6nsp.xlsx"	499	41	10	
"./zips/All M proposals.zip"	"2021.041M.A.v1.Mymonaviridae_5nsp.xlsx"	499	41	5	
"./zips/All P proposals.zip"	"2021.002P.A.v1.Secoviridae_1ng_20ns.xlsx"	497	41	22	
"./zips/All P proposals.zip"	"2021.003P.A.v1.Badnavirus_2ns_1as.xlsx"	499	41	3	
"./zips/All P proposals.zip"	"2021.004P.A.v1.Anulavirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.005P.A.v1.Bromovirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.006P.A.v1.Potyvirus_5ns_3as.xlsx"	491	41	8	
"./zips/All P proposals.zip"	"2021.007P.A.v1.Betaflexiviridae_2ng_23nsp.xlsx"	496	41	24	
"./zips/All P proposals.zip"	"2021.008P.A.v1.Cilevirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.009P.A.v2.Sobemovirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.010P.A.v1.Emaravirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.011P.A.v1.Emaravirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.012P.A.v1.Emaravirus_1ns.xlsx"	499	41	1	
"./zips/All P proposals.zip"	"2021.013P.A.v1.Fimoviridae_rename.xlsx"	499	41	21	
"./zips/All P proposals.zip"	"2021.014P.A.v1.Aspiviridae_rename.xlsx"	493	41	7	
"./zips/All P proposals.zip"	"2021.016P.A.v1.Pospiviroidae_11ns.xlsx"	499	41	11	
"./zips/All P proposals.zip"	"2021.018P.A.v1.Tombusviridae_1ng_2ns.xlsx"	499	41	3	
"./zips/All P proposals.zip"	"2021.019P.A.v1.Closteroviridae_3ngen_abolish_2sp.xlsx"	495	41	10	
"./zips/All P proposals.zip"	"2021.020P.A.v1.Mayoviridae_binomials.xlsx"	493	41	4	
"./zips/All S proposals.zip"	"2021.001S.A.v1.Hepeviridae.xlsx"	488	41	18	
"./zips/All S proposals.zip"	"2021.002S.A.v1.Iflavirus_1nsp.xlsx"	499	41	1	
"./zips/All S proposals.zip"	"2021.003S.A.v1.Iflavirus_abo1sp_ren1sp.xlsx"	499	41	1	
"./zips/All S proposals.zip"	"2021.004S.A.v1.Iflavirus_1nsp.xlsx"	499	41	1	
"./zips/All S proposals.zip"	"2021.005S.A.v1.Nidovirales.xlsx"	491	41	52	
"./zips/All S proposals.zip"	"2021.006S.A.v1.Picornaviridae_5nsfam.xlsx"	499	41	71	
